player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Fabian Schär,Newcastle United,SUI,DF,31,1991,ENG-Premier League,2324,36,35,3054,33.9,4,1,5,4,0,0,5,0,0.12,0.03,0.15,0.12,0.15,33.9,4,35,9,25.7,1.03,0.27,0.11,0.44,0,0,36,3054.0,85.0,89.3,33.9,35,86.0,31,1,28.0,0,1.56,72.0,58.0,14.0,0.41,-1.8,33.9,5,0,0,37,26,0,8,33,25,,,0
Harvey Barnes,Newcastle United,ENG,"FW,MF",25,1997,ENG-Premier League,2324,21,7,802,8.9,5,3,8,5,0,0,2,0,0.56,0.34,0.9,0.56,0.9,8.9,5,27,12,44.4,3.03,1.35,0.19,0.42,0,0,21,802.0,38.0,23.5,8.9,7,67.0,1,14,24.0,0,1.76,24.0,10.0,14.0,1.57,1.26,8.9,2,0,0,4,21,2,12,3,1,,,0
Jacob Murphy,Newcastle United,ENG,"FW,MF",28,1995,ENG-Premier League,2324,21,14,1189,13.2,3,7,10,3,0,0,1,0,0.23,0.53,0.76,0.23,0.76,13.2,3,30,10,33.3,2.27,0.76,0.1,0.3,0,0,21,1189.0,57.0,34.8,13.2,14,75.0,5,7,20.0,5,1.95,40.0,21.0,19.0,1.44,1.28,13.2,1,0,0,7,15,1,78,5,12,,,0
Jamaal Lascelles,Newcastle United,ENG,DF,29,1993,ENG-Premier League,2324,16,13,1080,12.0,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,12.0,1,6,1,16.7,0.5,0.08,0.17,1.0,0,0,16,1080.0,68.0,31.6,12.0,13,80.0,9,3,15.0,10,1.44,23.0,15.0,8.0,0.67,0.09,12.0,4,0,0,17,2,1,1,5,9,,,0
Joe White,Newcastle United,ENG,MF,20,2002,ENG-Premier League,2324,4,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,4,13.0,3.0,0.4,0.1,0,,0,4,3.0,10,1.0,2.0,0.0,2.0,13.85,13.29,0.1,1,0,0,2,0,0,0,0,1,,,0
Joe Willock,Newcastle United,ENG,MF,23,1999,ENG-Premier League,2324,9,5,419,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,4.7,1,7,4,57.1,1.5,0.86,0.14,0.25,0,0,9,419.0,47.0,12.3,4.7,5,67.0,0,4,22.0,0,1.56,6.0,9.0,-3.0,-0.64,-1.42,4.7,0,0,0,3,3,1,6,1,7,,,0
Joelinton,Newcastle United,BRA,"MF,FW",26,1996,ENG-Premier League,2324,20,15,1279,14.2,2,1,3,2,0,0,6,0,0.14,0.07,0.21,0.14,0.21,14.2,2,19,9,47.4,1.34,0.63,0.11,0.22,0,0,20,1279.0,64.0,37.4,14.2,15,79.0,8,5,18.0,0,1.45,26.0,23.0,3.0,0.21,-0.63,14.2,6,0,0,28,22,0,2,19,26,,,0
Kieran Trippier,Newcastle United,ENG,DF,32,1990,ENG-Premier League,2324,28,26,2236,24.8,1,10,11,1,0,0,5,0,0.04,0.4,0.44,0.04,0.44,24.8,1,8,2,25.0,0.32,0.08,0.13,0.5,0,0,28,2236.0,80.0,65.4,24.8,26,86.0,21,2,6.0,0,1.46,49.0,43.0,6.0,0.24,-1.05,24.8,5,0,0,27,21,3,214,24,27,,,0
Lewis Hall,Newcastle United,ENG,DF,18,2004,ENG-Premier League,2324,18,8,781,8.7,1,0,1,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,8.7,1,11,4,36.4,1.27,0.46,0.09,0.25,0,0,18,781.0,43.0,22.8,8.7,8,82.0,3,10,13.0,15,1.44,23.0,12.0,11.0,1.27,0.86,8.7,2,0,0,5,5,0,23,13,17,,,0
Lewis Miley,Newcastle United,ENG,MF,17,2006,ENG-Premier League,2324,17,14,1202,13.4,1,3,4,1,0,0,1,0,0.07,0.22,0.3,0.07,0.3,13.4,1,13,3,23.1,0.97,0.22,0.08,0.33,0,0,17,1202.0,71.0,35.1,13.4,14,80.0,6,3,29.0,1,1.18,27.0,29.0,-2.0,-0.15,-1.16,13.4,1,0,0,5,6,2,12,8,21,,,0
